"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2016 00:00 - 01.01.2016 00:15","40575","42293"
"01.01.2016 00:15 - 01.01.2016 00:30","40599","42033"
"01.01.2016 00:30 - 01.01.2016 00:45","39943","41785"
"01.01.2016 00:45 - 01.01.2016 01:00","39398","41510"
"01.01.2016 01:00 - 01.01.2016 01:15","38896","40862"
"01.01.2016 01:15 - 01.01.2016 01:30","38212","40251"
"01.01.2016 01:30 - 01.01.2016 01:45","37950","39834"
"01.01.2016 01:45 - 01.01.2016 02:00","37592","39557"
"01.01.2016 02:00 - 01.01.2016 02:15","37214","39004"
"01.01.2016 02:15 - 01.01.2016 02:30","36773","38607"
"01.01.2016 02:30 - 01.01.2016 02:45","36574","38258"
"01.01.2016 02:45 - 01.01.2016 03:00","36515","37845"
"01.01.2016 03:00 - 01.01.2016 03:15","36584","37843"
"01.01.2016 03:15 - 01.01.2016 03:30","36488","37574"
"01.01.2016 03:30 - 01.01.2016 03:45","36423","37377"
"01.01.2016 03:45 - 01.01.2016 04:00","36315","37143"
"01.01.2016 04:00 - 01.01.2016 04:15","36386","37276"
"01.01.2016 04:15 - 01.01.2016 04:30","36676","37193"
"01.01.2016 04:30 - 01.01.2016 04:45","36545","37079"
"01.01.2016 04:45 - 01.01.2016 05:00","36704","37052"
"01.01.2016 05:00 - 01.01.2016 05:15","37069","36983"
"01.01.2016 05:15 - 01.01.2016 05:30","37128","36545"
"01.01.2016 05:30 - 01.01.2016 05:45","37204","36242"
"01.01.2016 05:45 - 01.01.2016 06:00","37291","35780"
"01.01.2016 06:00 - 01.01.2016 06:15","37751","35404"
"01.01.2016 06:15 - 01.01.2016 06:30","38390","35026"
"01.01.2016 06:30 - 01.01.2016 06:45","39111","35060"
"01.01.2016 06:45 - 01.01.2016 07:00","39328","35123"
"01.01.2016 07:00 - 01.01.2016 07:15","40319","35261"
"01.01.2016 07:15 - 01.01.2016 07:30","41005","35403"
"01.01.2016 07:30 - 01.01.2016 07:45","42184","35502"
"01.01.2016 07:45 - 01.01.2016 08:00","42236","35696"
"01.01.2016 08:00 - 01.01.2016 08:15","43186","35935"
"01.01.2016 08:15 - 01.01.2016 08:30","43400","35927"
"01.01.2016 08:30 - 01.01.2016 08:45","43614","36264"
"01.01.2016 08:45 - 01.01.2016 09:00","44049","36618"
"01.01.2016 09:00 - 01.01.2016 09:15","44509","37479"
"01.01.2016 09:15 - 01.01.2016 09:30","45324","37986"
"01.01.2016 09:30 - 01.01.2016 09:45","45609","38407"
"01.01.2016 09:45 - 01.01.2016 10:00","46212","39045"
"01.01.2016 10:00 - 01.01.2016 10:15","46453","39732"
"01.01.2016 10:15 - 01.01.2016 10:30","47467","40408"
"01.01.2016 10:30 - 01.01.2016 10:45","47807","41144"
"01.01.2016 10:45 - 01.01.2016 11:00","48141","41874"
"01.01.2016 11:00 - 01.01.2016 11:15","48864","42528"
"01.01.2016 11:15 - 01.01.2016 11:30","49586","43299"
"01.01.2016 11:30 - 01.01.2016 11:45","50188","43848"
"01.01.2016 11:45 - 01.01.2016 12:00","50304","44081"
"01.01.2016 12:00 - 01.01.2016 12:15","50181","44316"
"01.01.2016 12:15 - 01.01.2016 12:30","49865","44309"
"01.01.2016 12:30 - 01.01.2016 12:45","49411","44228"
"01.01.2016 12:45 - 01.01.2016 13:00","49188","44129"
"01.01.2016 13:00 - 01.01.2016 13:15","48756","43878"
"01.01.2016 13:15 - 01.01.2016 13:30","48901","43556"
"01.01.2016 13:30 - 01.01.2016 13:45","48185","43506"
"01.01.2016 13:45 - 01.01.2016 14:00","47255","43365"
"01.01.2016 14:00 - 01.01.2016 14:15","47158","43386"
"01.01.2016 14:15 - 01.01.2016 14:30","46946","43169"
"01.01.2016 14:30 - 01.01.2016 14:45","46437","43072"
"01.01.2016 14:45 - 01.01.2016 15:00","47132","42912"
"01.01.2016 15:00 - 01.01.2016 15:15","46196","43414"
"01.01.2016 15:15 - 01.01.2016 15:30","46702","43540"
"01.01.2016 15:30 - 01.01.2016 15:45","45996","43676"
"01.01.2016 15:45 - 01.01.2016 16:00","46186","43819"
"01.01.2016 16:00 - 01.01.2016 16:15","46495","44557"
"01.01.2016 16:15 - 01.01.2016 16:30","47308","45449"
